Reaction ID,Name,Reaction equation,Gene
rxn02201_c0,2_amino_4_hydroxy_6_hydroxymethyl_7_8_dihydropteridine_diphosphate_4_aminobenzoate_2_amino_4_hydroxydihydropteridine_6_methenyltransferase_c0,ABEE_c0 + 2_Amino_4_hydroxy_6_hydroxymethyl_7_8_dihydropteridinediphosphate_c0 --> PPi_c0 + H_c0 + Dihydropteroate_c0,From ModelSEED
rxn00390_c0,N_Acyl_L_aspartate_amidohydrolase_c0,H2O_c0 + N_Acyl_L_aspartate_c0 <=> L_Aspartate_c0 + Carboxylic_acid_c0,From ModelSEED
rxn08180_c0,Biotin_synthase_c0,S_Adenosyl_L_methionine_c0 + S_c0 + Dethiobiotin_c0 --> L_Methionine_c0 + H_c0 + BIOT_c0 + 5_Deoxyadenosine_c0,From ModelSEED
rxn00062_c0,ATP_phosphohydrolase_c0,H2O_c0 + ATP_c0 --> ADP_c0 + Phosphate_c0 + H_c0,From ModelSEED
rxn11567_c0,beta_D_Galactosyl_1_4_beta_D_glucosylceramide_galactohydrolase_c0,H2O_c0 + LacCer_c0 <=> Galactose_c0 + Glucocerebroside_c0,From ModelSEED
rxn00423_c0,acetyl_CoA_L_serine_O_acetyltransferase_c0,Acetyl_CoA_c0 + L_Serine_c0 --> CoA_c0 + O_Acetyl_L_serine_c0,From ModelSEED
rxn00364_c0,ATP_CMP_phosphotransferase_c0,ATP_c0 + CMP_c0 + H_c0 <=> ADP_c0 + CDP_c0,From ModelSEED
rxn02177_c0,Isochorismate_pyruvate_hydrolase_c0,H2O_c0 + Isochorismate_c0 --> Pyruvate_c0 + 2_3_Dihydroxy_2_3_dihydrobenzoate_c0,From ModelSEED
rxn05250_c0,FACOAL160ISO_c0,ATP_c0 + CoA_c0 + fa6_c0 --> PPi_c0 + AMP_c0 + fa6coa_c0,From ModelSEED
rxn01673_c0,ATP_dCDP_phosphotransferase_c0,ATP_c0 + dCDP_c0 <=> ADP_c0 + dCTP_c0,From ModelSEED
rxn05625_c0,nitrite_transport_in_via_proton_symport__reversible_c0,H_e0 + Nitrite_e0 <=> H_c0 + Nitrite_c0,From ModelSEED
rxn02360_c0,trans_4_Hydroxy_L_proline_2_epimerase_c0,trans_4_Hydroxy_L_proline_c0 <=> cis_4_Hydroxy_D_proline_c0,From ModelSEED
rxn02342_c0,R03270_c0,Lipoamide_c0 + 2_Hydroxyethyl_ThPP_c0 <=> TPP_c0 + S_Acetyldihydrolipoamide_c0,From ModelSEED
rxn01452_c0,S_3_Hydroxybutanoyl_CoA_NADP_oxidoreductase_c0,NADP_c0 + S_3_Hydroxybutyryl_CoA_c0 <=> NADPH_c0 + H_c0 + Acetoacetyl_CoA_c0,From ModelSEED
rxn00973_c0,citrate_hydroxymutase_c0,Citrate_c0 <=> Isocitrate_c0,From ModelSEED
rxn02000_c0,dTDP_4_dehydro_6_deoxy_D_glucose_3_5_epimerase_c0,dTDP_4_oxo_6_deoxy_D_glucose_c0 <=> dTDP_4_oxo_L_rhamnose_c0,From ModelSEED
rxn03239_c0,S_3_Hydroxyhexadecanoyl_CoA_NAD_oxidoreductase_c0,NAD_c0 + S_3_Hydroxyhexadecanoyl_CoA_c0 <=> NADH_c0 + H_c0 + 3_Oxopalmitoyl_CoA_c0,From ModelSEED
rxn11962_c0,R02670_c0,4.0 O2_c0 + 2.0 3_Hydroxyanthranilate_c0 <=> 2.0 H2O2_c0 + 2.0 H_c0 + 2.0 O2__c0 + Cinnavalininate_c0,From ModelSEED
rxn00654_c0,N_Carbamoyl_beta_alanine_amidohydrolase_c0,H2O_c0 + 2.0 H_c0 + 3_Ureidopropanoate_c0 --> CO2_c0 + NH3_c0 + beta_Alanine_c0,From ModelSEED
