ID of reaction,Name,Gene (blank in this table),,,,,,,,,,,,,,,,,,,,,
rxn_DNA,DNA synthesis,,dATP,Pyrophosphate,dTTP,dCTP,dGTP,DNA,,,,,,,,,,,,,,,
,,,cpd00115_c0,cpd00012_c0,cpd00357_c0,cpd00356_c0,cpd00241_c0,DNA_c0,,,,,,,,,,,,,,,
,,,-1.42,8.86,-1.42,-3.01,-3.01,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
rxn_RNA,RNA synthesis,,Pyrophosphate,ATP,GTP,CTP,UTP,RNA,,,,,,,,,,,,,,,
,,,cpd00012_c0,cpd00002_c0,cpd00038_c0,cpd00052_c0,cpd00062_c0,RNA_c0,,,,,,,,,,,,,,,
,,,248.33,-39.73,-84.43,-84.43,-39.73,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
rxn_cofactors,Cofactor/key intermediate pool production,,THF,10-formyl THF,CoA,FAD,ATP,NAD+,NADP+,Thiamin,B12 coenzyme,Glutamate,Acetyl-CoA,Siroheme,"5,10-methylene-THF",Menaquinone,Cofactors,,,,,,
,,,cpd00087_c0,cpd00201_c0,cpd00010_c0,cpd00015_c0,cpd00002_c0,cpd00003_c0,cpd00006_c0,cpd00305_c0,cpd00166_c0,cpd00023_c0,cpd00022_c0,cpd00557_c0,cpd00347_c0,cpd11606_c0,cofactors_c0,,,,,,
,,,-0.07,-0.06,-0.04,-0.04,-3.32,-0.04,-0.04,-0.11,-0.02,-49.82,-0.04,-0.03,-0.06,-0.01,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
rxn_lipids,Lipid membrane biosynthesis,,"2,3-bis-O-phytanyl-glycerol-1P",,,,,,,,,,,,,,,,,,,,
,,,cpd_13863_KEGG_c0,,,,,,,,,,,,,,,,,,,,
,,,-25.52,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
rxn_energy,Energy production,,H2O,ATP,ADP,Phosphate,H+,Energy,,,,,,,,,,,,,,,
,,,cpd00001_c0,cpd00002_c0,cpd00008_c0,cpd00009_c0,cpd00067_c0,Energy_c0,,,,,,,,,,,,,,,
,,,-35000,-35000,35000,35000,35000,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
rxn_salt,Sodium uptake,,Na+,,,,,,,,,,,,,,,,,,,,
,,,cpd00971_c0,,,,,,,,,,,,,,,,,,,,
,,,-3044.76,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
rxn_glycosylation,Glycosylation,,GDP-Mannose,UDP-Glucose,UDP-galacturonate,UDP-glucuronate,SAM,UDP,GDP,SAH,Glycosylation,,,,,,,,,,,,
,,,cpd00083_c0,cpd00026_c0,cpd00472_c0,cpd00144_c0,cpd00017_c0,cpd00014_c0,M_cpd00031_c0,cpd00019_c0,Glycosylation_c0,,,,,,,,,,,,
,,,-3.6,-3.6,-3.6,-7.2,-3.6,10.8,14.4,3.6,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
rxn_protein,Protein synthesis,,His,Leu,Ile,Asp,Lys,Val,Thr,Ala,Glu,Gly,Pro,Tyr,Asn,Cys,Gln,Arg,Ser,Met,Trp,Phe,Protein
,,,cpd00119_c0,cpd00107_c0,cpd00322_c0,cpd00041_c0,cpd00039_c0,cpd00156_c0,cpd00161_c0,cpd00035_c0,cpd00023_c0,cpd00033_c0,cpd00129_c0,cpd00069_c0,cpd00132_c0,cpd00084_c0,cpd00053_c0,cpd00051_c0,cpd00054_c0,cpd00060_c0,cpd00065_c0,cpd00066_c0,Protein_c0
,,,-81.01,-15.92,82.96,-262.85,-70.06,-151.99,-135.28,-210.19,-440.44,-176.22,-134.15,-28.84,-60.55,-19.81,-76.41,-128.7,-110.53,-30.44,-31.34,-67.76,1
